Species,Family,SVL,TL,Weight,Zone,Year of sampling,Soil moisture,Soil pH,Temperature,Humidity,Season,Duration_of_sampling,Method
Fejervarya moodiei,Dicroglossidae,89,40,58,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,60,36,45.01,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,16,12,0.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,77,44,60,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,30.5,16,15.04,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,26,10.2,15,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,35,13.5,16,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,45,24,26.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,38,27,20,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,32.5,23.2,20,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,56,30.1,33,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,55.5,30,30,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,68,43.5,53,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,60.5,40.2,28.4,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,33.2,28.2,22,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,28,25.3,20,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,42,35,27,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,37.28,32.6,15,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,39.57,21.86,26.43,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya moodiei,Dicroglossidae,66.41,35.48,29.69,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya moodiei,Dicroglossidae,12.75,8.24,23.17,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya moodiei,Dicroglossidae,21,12,11,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya moodiei,Dicroglossidae,98,51,100,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Chalcorana labialis,Ranidae,33.946,19.418,68.186,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Chalcorana labialis,Ranidae,30,15,3,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Chalcorana labialis,Ranidae,47,28,9,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Chalcorana labialis,Ranidae,8,7,2.85,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Chalcorana labialis,Ranidae,31,18,3.35,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Chalcorana labialis,Ranidae,28,12.8,1,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Chalcorana labialis,Ranidae,31.5,19,5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Chalcorana labialis,Ranidae,26,15.5,2,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Chalcorana labialis,Ranidae,46,26,7,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Chalcorana labialis,Ranidae,33.33,18.5,4,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Chalcorana labialis,Ranidae,29.12,16.07,3.25,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Chalcorana labialis,Ranidae,36,22,13,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Duttaphrynus melanostictus,Bufonidae,60,21,26,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Rhacophorus pardalis,Rhacophoridae,51.33,28.67,11.67,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Rhacophorus pardalis,Rhacophoridae,43,21,6,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Rhacophorus pardalis,Rhacophoridae,60,34,17,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Rhacophorus robinsonii,Rhacophoridae,48,26,4.85,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Pulchrana glandulosa,Ranidae,20,11,1.35,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Pulchrana glandulosa,Ranidae,58.67,28.83,31.62,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Pulchrana glandulosa,Ranidae,85,39,51,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana glandulosa,Ranidae,87,40,55,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Pulchrana glandulosa,Ranidae,86,39.5,53,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Occidozyga laevis,Dicroglossidae,21,8,3,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Occidozyga laevis,Dicroglossidae,35,20,12,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Occidozyga laevis,Dicroglossidae,28.5,12.8,5.2,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Occidozyga laevis,Dicroglossidae,23.5,1,1,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Occidozyga laevis,Dicroglossidae,34.5,14,6,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
